school_name,season,division,conference_code,primary_conference,roster_size,avg_height_inches,median_height_inches,min_height_inches,max_height_inches,height_std_inches,imputed_height_count,avg_experience,median_experience,max_experience,transfer_count,international_count,transfer_pct,international_pct,imputed_height_pct,experience_year_1_count,experience_year_2_count,experience_year_3_count,experience_year_4_count,experience_year_5_count,experience_year_1_pct,experience_year_2_pct,experience_year_3_pct,experience_year_4_pct,experience_year_5_pct,position_l_ds_count,position_mb_count,position_oh_count,position_opp_count,position_s_count
Loyola Marymount University,2025,DI,WCC,West Coast Conference,16,70.625,71.5,64.0,75.0,3.649200825751669,0,2.625,2.0,5.0,0,4,0.0,0.25,0.0,5.0,4.0,2.0,2.0,3.0,0.3125,0.25,0.125,0.125,0.1875,3.0,4.0,6.0,1.0,2.0
Loyola University Chicago,2025,DI,A10,Atlantic 10 Conference,10,71.4,72.5,66.0,74.0,2.5473297566057074,0,2.9,3.0,5.0,0,0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,0.1,0.3,0.3,0.2,0.1,1.0,4.0,2.0,0.0,3.0
Loyola University Maryland,2025,DI,PL,Patriot League,14,69.92857142857143,70.5,64.0,74.0,3.173551413074716,0,2.5,3.0,4.0,0,1,0.0,0.07142857142857142,0.0,5.0,1.0,4.0,4.0,0.0,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.0,3.0,4.0,5.0,0.0,2.0
Manhattan University,2025,DI,MAAC,Metro Atlantic Athletic Conference,10,71.3,71.5,67.0,74.0,2.110818693198341,0,2.1,2.0,3.0,0,2,0.0,0.2,0.0,3.0,3.0,4.0,0.0,0.0,0.3,0.3,0.4,0.0,0.0,1.0,3.0,3.0,1.0,2.0
Marist University,2025,DI,MAAC,Metro Atlantic Athletic Conference,16,71.1875,71.5,67.0,76.0,2.6887109674836136,0,2.375,2.0,5.0,0,4,0.0,0.25,0.0,4.0,5.0,5.0,1.0,1.0,0.25,0.3125,0.3125,0.0625,0.0625,2.0,4.0,6.0,2.0,2.0
McNeese State University,2025,DI,Southland,Southland Conference,15,69.66666666666667,69.0,64.0,75.0,3.2219485379118624,0,2.2,2.0,4.0,0,1,0.0,0.06666666666666667,0.0,7.0,2.0,2.0,4.0,0.0,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0,4.0,2.0,5.0,1.0,3.0
Merrimack College,2025,DI,MAAC,Metro Atlantic Athletic Conference,11,70.63636363636364,70.0,66.0,75.0,2.693426341028367,0,2.5454545454545454,2.0,4.0,1,1,0.09090909090909091,0.09090909090909091,0.0,2.0,4.0,2.0,3.0,0.0,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.0,1.0,2.0,3.0,2.0,3.0
Middle Tennessee State University,2025,DI,CUSA,Conference USA,17,70.35602088054303,71.45390070921985,66.12328767123287,73.15611814345992,2.684049340421742,0,2.2941176470588234,2.0,5.0,0,5,0.0,0.29411764705882354,0.0,7.0,3.0,3.0,3.0,1.0,0.4117647058823529,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.058823529411764705,4.0,4.0,5.0,1.0,3.0
Mississippi Valley State University,2025,DI,SWAC,Southwestern Athletic Conf.,17,69.0,69.0,63.0,73.0,3.0207614933986426,0,2.6470588235294117,2.0,4.0,2,2,0.11764705882352941,0.11764705882352941,0.0,0.0,11.0,1.0,5.0,0.0,0.0,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.0,1.0,7.0,5.0,0.0,2.0
Montana State University-Bozeman,2025,DI,Big Sky,Big Sky Conference,16,71.0,72.0,67.0,75.0,2.756809750418045,0,2.1875,2.0,4.0,0,0,0.0,0.0,0.0,6.0,5.0,1.0,4.0,0.0,0.375,0.3125,0.0625,0.25,0.0,4.0,4.0,5.0,1.0,2.0
Morehead State University,2025,DI,Ohio Valley,Ohio Valley Conference,11,71.18181818181819,72.0,66.0,75.0,2.6388702816994183,0,3.272727272727273,3.0,5.0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.18181818181818182,3.0,4.0,3.0,0.0,1.0
Morgan State University,2025,DI,MEAC,Mid-Eastern Athletic Conf.,10,70.3,71.0,67.0,74.0,2.263232692902395,0,1.8,1.5,4.0,0,0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.5,0.3,0.1,0.1,0.0,2.0,1.0,4.0,1.0,2.0
Murray State University,2025,DI,MVC,Missouri Valley Conference,15,70.7323366072428,71.45390070921985,66.12328767123287,73.15611814345992,2.1870954003959677,0,2.3333333333333335,3.0,4.0,0,5,0.0,0.3333333333333333,0.0,7.0,0.0,4.0,4.0,0.0,0.4666666666666667,0.0,0.26666666666666666,0.26666666666666666,0.0,2.0,3.0,7.0,0.0,3.0
Niagara University,2025,DI,MAAC,Metro Atlantic Athletic Conference,13,70.53846153846153,71.0,64.0,76.0,3.152125859780577,0,2.8461538461538463,3.0,4.0,0,3,0.0,0.23076923076923078,0.0,2.0,2.0,5.0,4.0,0.0,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.3076923076923077,0.0,1.0,3.0,6.0,2.0,1.0
Nicholls State University,2025,DI,Southland,Southland Conference,15,69.0,70.0,64.0,77.0,3.6449573777637325,0,2.3333333333333335,2.0,5.0,7,4,0.4666666666666667,0.26666666666666666,0.0,6.0,2.0,5.0,0.0,2.0,0.4,0.13333333333333333,0.3333333333333333,0.0,0.13333333333333333,3.0,2.0,5.0,1.0,4.0
Norfolk State University,2025,DI,MEAC,Mid-Eastern Athletic Conf.,6,70.16666666666667,70.5,65.0,73.0,2.786873995477132,0,1.3333333333333333,1.0,2.0,0,0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
North Carolina State University,2025,DI,ACC,Atlantic Coast Conference,15,71.74155251141552,72.0,66.0,77.0,3.6794198031536465,0,2.4,2.0,4.0,0,1,0.0,0.06666666666666667,0.0,6.0,2.0,2.0,5.0,0.0,0.4,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.0,3.0,4.0,3.0,2.0,3.0
North Dakota State University,2025,DI,Summit,The Summit League,15,69.46666666666667,71.0,60.0,74.0,4.389381125701737,0,2.4,2.0,4.0,2,1,0.13333333333333333,0.06666666666666667,0.0,3.0,5.0,5.0,2.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.0,4.0,3.0,5.0,0.0,3.0
Northeastern University,2025,DI,CAA,Coastal Athletic Association,19,70.63157894736842,70.0,67.0,74.0,2.165654284398174,0,,,,2,5,0.10526315789473684,0.2631578947368421,0.0,,,,,,,,,,,4.0,4.0,7.0,0.0,4.0
